"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","Thu Oct 30 22:19:29 UTC 2025","passed","Thu Oct 30 22:19:29 UTC 2025","Get entity","Users","",""
"","265","Create file with empty directory","LMS service","Thu Oct 30 22:19:27 UTC 2025","passed","Thu Oct 30 22:19:27 UTC 2025","Validate entity","Files","",""
"","287","Create user","LMS service","Thu Oct 30 22:19:28 UTC 2025","passed","Thu Oct 30 22:19:29 UTC 2025","Create entity","Users","",""
"","21","Create exercise","LMS service","Thu Oct 30 22:19:22 UTC 2025","passed","Thu Oct 30 22:19:22 UTC 2025","Create entity","Exercises","",""
"","18","Get exercise","LMS service","Thu Oct 30 22:19:24 UTC 2025","passed","Thu Oct 30 22:19:24 UTC 2025","Get entity","Exercises","",""
"","14","Get file","LMS service","Thu Oct 30 22:19:26 UTC 2025","passed","Thu Oct 30 22:19:26 UTC 2025","Get entity","Files","",""
"","25","Get courses","LMS service","Thu Oct 30 22:19:21 UTC 2025","passed","Thu Oct 30 22:19:21 UTC 2025","Get entities","Courses","",""
"","288","Delete exercise","LMS service","Thu Oct 30 22:19:24 UTC 2025","passed","Thu Oct 30 22:19:24 UTC 2025","Delete entity","Exercises","",""
"","289","Update exercise","LMS service","Thu Oct 30 22:19:23 UTC 2025","passed","Thu Oct 30 22:19:23 UTC 2025","Update entity","Exercises","",""
"","301","Update course","LMS service","Thu Oct 30 22:19:20 UTC 2025","passed","Thu Oct 30 22:19:21 UTC 2025","Update entity","Courses","",""
"","27","Create course","LMS service","Thu Oct 30 22:19:22 UTC 2025","passed","Thu Oct 30 22:19:22 UTC 2025","Create entity","Courses","",""
"","558","Create user","LMS service","Thu Oct 30 22:19:28 UTC 2025","passed","Thu Oct 30 22:19:28 UTC 2025","Create entity","Users","",""
"","560","Create user","LMS service","Thu Oct 30 22:19:28 UTC 2025","passed","Thu Oct 30 22:19:29 UTC 2025","Create entity","Users","",""
"","552","Login with correct email and password","LMS service","Thu Oct 30 22:19:20 UTC 2025","passed","Thu Oct 30 22:19:20 UTC 2025","Login","Authentication","",""
"","258","Get file with incorrect file id","LMS service","Thu Oct 30 22:19:28 UTC 2025","passed","Thu Oct 30 22:19:28 UTC 2025","Validate entity","Files","",""
"","266","Create file with empty filename","LMS service","Thu Oct 30 22:19:26 UTC 2025","passed","Thu Oct 30 22:19:27 UTC 2025","Validate entity","Files","",""
"","18","Get exercises","LMS service","Thu Oct 30 22:19:25 UTC 2025","passed","Thu Oct 30 22:19:25 UTC 2025","Get entities","Exercises","",""
"","19","Delete file","LMS service","Thu Oct 30 22:19:28 UTC 2025","passed","Thu Oct 30 22:19:28 UTC 2025","Delete entity","Files","",""
"","262","Create file","LMS service","Thu Oct 30 22:19:25 UTC 2025","passed","Thu Oct 30 22:19:25 UTC 2025","Create entity","Files","",""
